id,date,process,pending,approved
1421,06-07-2025,TANGEDCO,0,87
1423,07-07-2025,TANGEDCO,0,86
1425,08-07-2025,TANGEDCO,0,82
1427,08-07-2025,"DISH TV-OB",0,2
1429,08-07-2025,VD2H-OB,0,40
1430,08-07-2025,BSES-NOIDA,0,24
1431,08-07-2025,PSPCL,0,161
1501,09-07-2025,"SBI Card",0,2
1502,09-07-2025,Unknown,0,141
1503,08-07-2025,Qurex,0,3
1504,09-07-2025,"Dish TV-Backend",0,1
1505,09-07-2025,Qurex,0,4
1507,09-07-2025,MOT,0,55
1509,09-07-2025,"MMT FILLER",0,13
1510,09-07-2025,"MMT Flight",0,30
1517,07-07-2025,"Amazon - HYD",0,2
1518,08-07-2025,"Amazon - HYD",0,2
1519,09-07-2025,"Amazon - HYD",0,2
1531,07-07-2025,"Namma yatri-Bengaluru",0,5
1533,08-07-2025,"Namma yatri-Bengaluru",0,5
1535,09-07-2025,"Namma yatri-Bengaluru",0,6
1551,07-07-2025,"Namma yatri-Chennai",0,3
1552,08-07-2025,"Namma yatri-Chennai",0,2
1553,09-07-2025,"Namma yatri-Chennai",0,3
1619,09-07-2025,Mpokket,0,146
1621,09-07-2025,ZET,0,19
1636,09-07-2025,"Poshan Helpline-Hyd",0,1
1674,09-07-2025,EDCIL,0,2
1675,09-07-2025,MEITY,0,1
1676,09-07-2025,NHDC,0,1
1677,09-07-2025,"Poshan Helpline",0,36
1791,09-07-2025,Adani,0,18
1792,09-07-2025,"GoQii-Inbound	",0,2
1793,09-07-2025,GoQii-Outbound,0,2
1794,09-07-2025,"HDFC PERSISTENCY",0,17
1795,09-07-2025,"I-Pru Mumbai ",0,39
1796,09-07-2025,"IDFC Cross Sale",0,171
1797,09-07-2025,"IDFC Digi Sales",0,11
1798,09-07-2025,Jio-Insure,0,13
1799,09-07-2025,"L&T SME",0,9
1800,09-07-2025,"L&T Services-Mumbai",0,24
1801,09-07-2025,MGL,0,23
1802,09-07-2025,"Nayara Mumbai",0,10
1803,09-07-2025,"Reliance Nippon",0,50
1805,09-07-2025,"Yes Bank",0,62
1935,08-07-2025,"Max life-SDPL",0,70
1937,09-07-2025,"Max life-SDPL",0,74
1946,05-07-2025,"Bharat Pay",0,2
1948,06-07-2025,"Bharat Pay",0,1
1950,08-07-2025,"Bharat Pay",0,1
1952,09-07-2025,"Bharat Pay",0,1
1955,01-07-2025,"I-PRU Noida",0,39
1956,01-07-2025,"I-PRU Protection",0,44
1958,02-07-2025,"I-PRU Noida",0,38
1959,02-07-2025,"I-PRU Protection",0,39
1961,03-07-2025,"I-PRU Noida",0,42
1962,03-07-2025,"I-PRU Protection",0,43
1964,04-07-2025,"I-PRU Noida",0,37
1965,04-07-2025,"I-PRU Protection",0,41
1967,05-07-2025,"I-PRU Noida",0,42
1968,05-07-2025,"I-PRU Protection",0,41
1970,06-07-2025,"I-PRU Noida",0,37
1971,06-07-2025,"I-PRU Protection",0,41
1973,07-07-2025,"I-PRU Noida",0,40
1974,07-07-2025,"I-PRU Protection",0,40
1976,08-07-2025,"I-PRU Noida",0,43
1977,08-07-2025,"I-PRU Protection",0,42
1979,09-07-2025,"I-PRU Noida",0,41
1980,09-07-2025,"I-PRU Protection",0,49
2036,07-07-2025,"Paytm Bank Noida",0,14
2038,08-07-2025,"Paytm Bank Noida",0,17
2040,09-07-2025,GS-1,0,8
2042,09-07-2025,"Aakash Institue",0,32
2043,09-07-2025,"Bajaj Allianz-Noida",0,10
2045,09-07-2025,NHA,0,1
2046,09-07-2025,TANGEDCO,0,88
2048,09-07-2025,"DISH TV-OB",0,2
2050,09-07-2025,VD2H-OB,0,40
2051,09-07-2025,BSES-NOIDA,0,30
